      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:09:29    67     34   00:09:29    53     48
 24   01:07:42    87     14   01:15:24    58     43
 23   00:03:06     8     93   05:38:42   475      0
 22   00:19:40   186      0   00:43:39    51     50
 21   07:55:05  1505      0   08:01:00  1152      0
 20   00:38:58    60     41   00:40:02    50     51
 19   00:12:57   117      0   00:54:17    70     31
 18   00:09:41    43     58   00:14:33    31     70
 17   01:39:50   186      0   01:43:33   186      0
 16   00:18:00    64     37   00:54:53   243      0
 15   00:47:56     8     93   00:51:11     7     94
 14   00:28:33   807      0   00:44:25   564      0
 13   00:13:55     7     94   01:27:53   511      0
 12   00:12:08    67     34   00:25:13    83     18
 11   00:10:06   250      0   00:14:34    72     29
 10   00:15:48   102      0   00:17:17   109      0
  9   00:16:02   111      0   00:49:35   332      0
  8   00:06:51   107      0   00:09:57    62     39
  7   00:06:33    38     63   00:14:37    11     90
  6   00:15:23    76     25   01:24:48   969      0
  5   00:06:48   159      0   00:10:18    98      3
  4   00:14:37    44     57   00:15:04    20     81
  3   00:04:17    26     75   00:05:55    20     81
  2   00:05:45   304      0   00:13:28   358      0
  1   00:01:15    58     43   00:02:54    10     91
