      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 23   01:20:06  1137      0   01:35:18   301      0
 22   00:07:38   229      0   01:10:39   503      0
 21   00:08:16   399      0   00:21:40   117      0
 20   00:22:30   282      0   00:23:08   201      0
 19   00:49:49    75     26   00:53:48    56     45
 18   01:07:30   618      0   01:19:03   702      0
 17   00:09:37   167      0   00:15:51   225      0
 16   00:35:25   610      0   00:47:42   663      0
 15   00:09:32   373      0   00:13:56    92      9
 14   00:08:41   577      0   00:25:04   654      0
 13   00:06:04    89     12   00:15:30   434      0
 12   00:08:20   216      0   00:13:10   110      0
 11   00:09:22   158      0   00:10:38   129      0
 10   00:05:39   360      0   00:11:35   380      0
  9   00:15:40  3461      0   00:22:27   992      0
  8   00:06:41   654      0   00:33:37   566      0
  7   00:02:57   381      0   00:03:57   165      0
  6   00:07:06  1596      0   00:09:01   365      0
  5   00:05:05   105      0   00:12:48   307      0
  4   00:09:31   168      0   00:12:40   157      0
  3   00:04:18   321      0   00:18:23   723      0
  2   00:04:13  2300      0   00:07:36  2577      0
  1   00:01:04    95      6   00:01:50    28     73
