      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:11:50   132      0   00:50:47   607      0
 24   00:15:22    85     16   00:17:45    63     38
 23   00:30:52   685      0       >24h  3090      0
 22   00:11:51    60     41   00:18:26    71     30
 21   00:37:18    81     20   00:37:58    75     26
 20       >24h  4937      0       >24h  4415      0
 19       >24h  5856      0       >24h  5784      0
 18       >24h  6490      0       >24h  5476      0
 17   00:08:20   174      0   00:14:08    64     37
 16   00:11:59   204      0   00:51:21   348      0
 15   00:06:50   155      0   00:09:11    91     10
 14   00:08:43    84     17   00:38:55   244      0
 13   00:09:46    78     23   00:22:57   111      0
 12   00:10:17   268      0   00:12:51   196      0
 11   00:06:10    38     63   00:19:14   275      0
 10   00:20:40   293      0   00:30:38   156      0
  9   02:50:43  1803      0   02:58:26  1764      0
  8   04:03:05  3335      0   04:05:01  3248      0
  7   11:21:23  7388      0   11:44:22  4433      0
  6   00:09:45   194      0   00:11:23   150      0
  5   00:05:47   353      0   00:06:36   240      0
  4   00:03:01   238      0   00:05:26   208      0
  3   04:40:32  2864      0   04:49:26  1813      0
  2   02:51:12  2950      0   02:58:31  2500      0
  1   01:11:15  1118      0   01:20:20  1003      0
