      -------Part 1--------   --------Part 2--------
Day       Time  Rank  Score       Time   Rank  Score
 25   12:45:34  7164      0   12:45:34   5444      0
 24   01:39:26  2657      0   02:38:57   1199      0
 23   00:13:57   302      0   01:44:25   1229      0
 22   00:20:14    86     15   00:28:23     81     20
 21   00:11:32   997      0   04:03:50   1950      0
 20   00:53:20  1196      0   08:27:22   5368      0
 19   00:15:00   336      0   00:42:31    466      0
 18   00:06:46    45     56   00:47:28    800      0
 17   00:39:13   993      0   00:52:30    958      0
 16   00:18:55   558      0   00:29:36    903      0
 15   00:02:36   207      0   00:17:39    647      0
 14   00:06:00   336      0   00:18:57    148      0
 13   00:08:07    73     28   00:17:14    234      0
 12   00:14:26   414      0   00:45:47    750      0
 11   00:07:57   236      0   00:12:28    277      0
 10   00:14:08   203      0   01:00:42    676      0
  9   00:09:31  1129      0   00:11:15    821      0
  8   00:11:02  2700      0   06:20:55  20341      0
  7   00:17:22   635      0   00:25:45    515      0
  6   00:05:31   667      0   00:06:47    342      0
  5   00:09:33   167      0   00:26:05     90     11
  4   00:04:15   429      0   00:11:07    503      0
  3   00:08:00   155      0   00:17:17    329      0
  2   00:05:16   219      0   00:09:45    484      0
  1   00:01:55   177      0   00:09:56    346      0
