      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:33:53   113      0   00:33:58    92      9
 24   00:11:43   119      0   00:36:44    75     26
 23   00:11:14    88     13   00:19:27    78     23
 22   00:13:55   146      0   02:02:18    98      3
 21   00:28:01   312      0   01:24:24   487      0
 20   00:26:12    96      5   00:39:33    42     59
 19   00:02:59    65     36   00:23:56    69     32
 18   01:26:26   172      0   01:44:04    75     26
 17   00:13:27   365      0   03:30:07  1098      0
 16   00:22:00   477      0   01:46:58   370      0
 15   00:30:28   128      0   00:35:37    81     20
 14   01:02:30   503      0   01:08:56   326      0
 13   00:05:18   320      0   00:22:23   136      0
 12   00:12:08   128      0   00:46:37   210      0
 11   00:40:36  1160      0   00:45:30   924      0
 10   00:19:04   214      0   02:55:46  1390      0
  9   00:47:23   985      0   00:47:48   927      0
  8   00:04:34    93      8   00:24:53   765      0
  7   00:06:23    30     71   00:32:36   118      0
  6   00:04:15    37     64   00:08:39    31     70
  5   00:10:48    28     73   00:15:48    24     77
  4   00:05:05   423      0   00:11:08   397      0
  3   00:05:54    12     89   00:10:18    30     71
  2   00:05:57    74     27   00:08:56    48     53
  1   00:01:11    57     44   00:04:37   130      0
